Sentence #,Word,Tag
,respectively,O
,.,O
Sentence: 6,Both,O
,mutant,O
,receptors,O
,were,O
,expressed,O
,on,O
,the,O
,cell,O
,surface,O
,and,O
,bound,O
,insulin,B-B.GENE
,normally,O
,",",O
,but,O
,showed,O
,markedly,O
,impaired,O
,autophosphorylation,O
,in,O
,response,O
,to,O
,insulin,B-B.GENE
,.,O
Sentence: 7,Furthermore,O
,",",O
,analysis,O
,of,O
,the,O
,E2,B-B.GENE
,proteins,I-I.GENE
,present,O
,in,O
,various,O
,cell,O
,lines,O
,harboring,O
,specific,O
,BPV,O
,-,O
,1,O
,mutants,O
,",",O
,including,O
,the,O
,2558,O
,acceptor,O
,mutant,O
,",",O
,proves,O
,that,O
,alternate,O
,modes,O
,of,O
,E2,B-B.GENE
,expression,O
,exist,O
,.,O
Sentence: 8,Molecular,O
,modelling,O
,suggested,O
,that,O
,the,O
,tetramerization,O
,domain,O
,was,O
,a,O
,four,O
,-,O
,helix,O
,bundle,O
,",",O
,stabilized,O
,by,O
,interactions,O
,of,O
,seven,O
,conserved,O
,aromatic,O
,amino,O
,acids,O
,.,O
Sentence: 9,Hematology,O
,problem,O
,of,O
,the,O
,month,O
,:,O
,band,O
,or,O
,seg,O
,?,O
,,
,PKA,B-B.GENE
,phosphorylated,O
,WT1,B-B.GENE
,at,O
,Ser,O
,-,O
,365,O
,and,O
,Ser,O
,-,O
,393,O
,in,O
,vitro,O
,",",O
,as,O
,well,O
,as,O
,at,O
,additional,O
,sites,O
,",",O
,and,O
,this,O
,phosphorylation,O
,abolished,O
,the,O
,DNA,O
,-,O
,binding,O
,activity,O
,of,O
,WT1,B-B.GENE
,in,O
,vitro,O
,.,O
Sentence: 10,ROCK,B-B.GENE
,-,I-I.GENE
,I,I-I.GENE
,",",O
,Kinectin,B-B.GENE
,",",O
,and,O
,mDia2,B-B.GENE
,can,O
,bind,O
,the,O
,wild,O
,type,O
,forms,O
,of,O
,both,O
,RhoA,B-B.GENE
,and,O
,Cdc42,B-B.GENE
,in,O
,a,O
,GTP,O
,-,O
,dependent,O
,manner,O
,in,O
,vitro,O
,.,O
Sentence: 11,These,O
,results,O
,support,O
,the,O
,hypothesis,O
,that,O
,in,O
,the,O
,presence,O
,of,O
,tryptophan,O
,the,O
,ribosome,O
,translating,O
,tnaC,B-B.GENE
,blocks,O
,Rho,B-B.GENE
,',O
,s,O
,access,O
,to,O
,the,O
,boxA,B-B.GENE
,and,O
,rut,B-B.GENE
,sites,I-I.GENE
,",",O
,thereby,O
,preventing,O
,transcription,O
,termination,O
,.,O
Sentence: 12,Suppressors,O
,of,O
,defective,O
,silencing,O
,in,O
,yeast,O
,:,O
,effects,O
,on,O
,transcriptional,O
,repression,O
,at,O
,the,O
,HMR,B-B.GENE
,locus,I-I.GENE
,",",O
,cell,O
,growth,O
,and,O
,telomere,O
,structure,O
,.,O
Sentence: 13,The,O
,pJR,O
,vectors,O
,differ,O
,among,O
,them,O
,in,O
,:,O
,(,O
,a,O
,),O
,the,O
,selectable,O
,marker,O
,(,O
,Saccharomyces,O
,cerevisiae,O
,LEU,B-B.GENE
,2,I-I.GENE
,gene,I-I.GENE
,",",O
,which,O
,complements,O
,S,B-B.GENE
,.,I-I.GENE
,pombe,I-I.GENE
,leu1,I-I.GENE
,-,I-I.GENE
,gene,I-I.GENE
,and,O
,S,O
,.,O
,pombe,O
,ura4,B-B.GENE
,+,I-I.GENE
,and,O
,his3,B-B.GENE
,+,I-I.GENE
,genes,I-I.GENE
,),O
,;,O
,(,O
,b,O
,),O
,the,O
,thiamine,O
,-,O
,repressible,O
,nmt1,B-B.GENE
,promoter,I-I.GENE
,(,O
,3X,O
,",",O
,41X,O
,and,O
,81X,O
,with,O
,extremely,O
,high,O
,",",O
,moderate,O
,or,O
,low,O
,transcription,O
,efficiency,O
,",",O
,respectively,O
,),O
,;,O
,and,O
,(,O
,c,O
,),O
,the,O
,multiple,O
,cloning,O
,site,O
,(,O
,two,O
,multiple,O
,cloning,O
,sites,O
,",",O
,with,O
,12,O
,restriction,O
,sites,O
,each,O
,),O
,.,O
Sentence: 14,The,O
,transcription,O
,of,O
,most,O
,RP,B-B.GENE
,genes,I-I.GENE
,is,O
,activated,O
,by,O
,two,O
,Rap1p,B-B.GENE
,binding,I-I.GENE
,sites,I-I.GENE
,",",O
,250,O
,to,O
,400,O
,bp,O
,upstream,O
,from,O
,the,O
,initiation,O
,of,O
,transcription,O
,.,O
,,
,Cardiac,O
,markers,O
,troponin,B-B.GENE
,T,I-I.GENE
,",",O
,CK,B-B.GENE
,-,O
,MB,B-B.GENE
,mass,O
,and,O
,myoglobin,B-B.GENE
,were,O
,helpful,O
,in,O
,the,O
,differential,O
,diagnosis,O
,of,O
,chest,O
,pain,O
,",",O
,even,O
,when,O
,the,O
,ECG,O
,was,O
,unremarkable,O
,or,O
,nonspecific,O
,.,O
Sentence: 15,Finally,O
,",",O
,in,O
,situ,O
,RNA,O
,hybridization,O
,studies,O
,revealed,O
,a,O
,very,O
,specific,O
,pattern,O
,of,O
,EphA8,B-B.GENE
,gene,I-I.GENE
,expression,O
,restricted,O
,to,O
,the,O
,rostral,O
,region,O
,of,O
,midbrain,O
,tectum,O
,during,O
,embryonic,O
,development,O
,.,O
Sentence: 16,None,O
,were,O
,restricted,O
,from,O
,clinical,O
,duties,O
,",",O
,were,O
,given,O
,varicella,B-B.GENE
,-,I-I.GENE
,zoster,I-I.GENE
,immune,I-I.GENE
,globulin,I-I.GENE
,",",O
,or,O
,developed,O
,disease,O
,.,O
Sentence: 17,Positional,O
,cloning,O
,has,O
,already,O
,produced,O
,the,O
,sequences,O
,of,O
,more,O
,than,O
,70,O
,human,O
,genes,O
,associated,O
,with,O
,specific,O
,diseases,O
,.,O
,,
,In,O
,this,O
,paper,O
,",",O
,we,O
,demonstrate,O
,that,O
,binding,O
,of,O
,the,O
,GA,B-B.GENE
,-,I-I.GENE
,binding,I-I.GENE
,protein,I-I.GENE
,(,O
,GABP,B-B.GENE
,),O
,to,O
,ets,B-B.GENE
,sequence,I-I.GENE
,motifs,I-I.GENE
,within,O
,each,O
,repeated,O
,unit,O
,is,O
,required,O
,for,O
,transcriptional,O
,activation,O
,of,O
,the,O
,COXIV,B-B.GENE
,promoter,I-I.GENE
,.,O
Sentence: 18,These,O
,activities,O
,are,O
,all,O
,required,O
,for,O
,stimulation,O
,of,O
,cell,O
,growth,O
,by,O
,middle,B-B.GENE
,-,I-I.GENE
,T,I-I.GENE
,and,O
,activate,O
,members,O
,of,O
,the,O
,MAP,B-B.GENE
,kinase,I-I.GENE
,family,I-I.GENE
,.,O
,,
,HPLC,O
,phosphopeptide,O
,mapping,O
,",",O
,amino,O
,acid,O
,sequencing,O
,",",O
,and,O
,site,O
,-,O
,directed,O
,mutagenesis,O
,determined,O
,that,O
,NCLK,B-B.GENE
,phosphorylates,O
,Ser,O
,(,O
,67,O
,),O
,of,O
,I,B-B.GENE
,-,I-I.GENE
,1,I-I.GENE
,.,O
Sentence: 19,A,O
,chaotropic,O
,detergent,O
,",",O
,0,O
,.,O
,1,O
,%,O
,Nonidet,O
,P,O
,-,O
,40,O
,",",O
,also,O
,abolished,O
,the,O
,interaction,O
,",",O
,further,O
,supporting,O
,the,O
,hydrophobic,O
,nature,O
,of,O
,the,O
,interaction,O
,.,O
,,
,Genomic,O
,and,O
,cDNA,O
,clones,O
,homologous,O
,to,O
,the,O
,yeast,O
,GCN2,B-B.GENE
,eIF,B-B.GENE
,-,I-I.GENE
,2alpha,I-I.GENE
,kinase,O
,(,O
,yGCN2,O
,),O
,were,O
,isolated,O
,from,O
,Drosophila,O
,melanogaster,O
,.,O
,petroleum,O
,are,O
,pumped,O
,daily,O
,.,O
,Suspected,O
,Islamist,O
,rebels,O
,have,O
,fired,O
,mortar,O
,shells,O
,at,O
,the,O
,palace,O
,used,O
,by,O
,Somalia,B-B.GENE
,'s,O
,interim,O
,President,B-B.GENE
,Abdullahi,I-I.GENE
,Yusuf,I-I.GENE
,Ahmad,I-I.GENE
,.,O
Sentence: 20,It,O
,was,O
,not,O
,immediately,O
,clear,O
,if,O
,the,O
,president,O
,was,O
,in,O
,the,O
,palace,O
,in,O
,Mogadishu,B-B.GENE
,when,O
,the,O
,attack,O
,occurred,O
,or,O
,if,O
,anyone,O
,was,O
,hurt,O
,.,O
Sentence: 21,Local,O
,news,O
,reports,O
,said,O
,at,O
,least,O
,five,O
,mortar,O
,shells,O
,hit,O
,the,O
,palace,O
,compound,O
,and,O
,other,O
,mortars,O
,were,O
,fired,O
,elsewhere,O
,in,O
,Mogadishu,B-B.GENE
,Wednesday,B-B.GENE
,.,O
Sentence: 22,The,O
,attacks,O
,occurred,O
,after,O
,the,O
,government,O
,said,O
,it,O
,will,O
,go,O
,ahead,O
,with,O
,a,O
,reconciliation,O
,conference,O
,to,O
,which,O
,more,O
,than,O
,"1,300",O
,Somali,B-B.GENE
,elders,O
,",",O
,warlords,O
,and,O
,politicians,O
,are,O
,invited,O
,.,O
Sentence: 23,Iraqi,B-B.GENE
,military,O
,officials,O
,say,O
,tanks,O
,and,O
,troops,O
,have,O
,arrived,O
,in,O
,the,O
,northern,O
,city,O
,Mosul,B-B.GENE
,for,O
,a,O
,new,O
,offensive,O
,against,O
,al,B-B.GENE
,Qaida,I-I.GENE
,in,I-I.GENE
,Iraq,I-I.GENE
,fighters,O
,.,O
Sentence: 24,Officials,O
,will,O
,not,O
,say,O
,how,O
,many,O
,troops,O
,have,O
,arrived,O
,in,O
,the,O
,Sunni,B-B.GENE
,Arab,I-I.GENE
,and,O
,Kurdish,B-B.GENE
,city,O
,",",O
,where,O
,bombings,O
,last,O
,week,O
,killed,O
,at,O
,least,O
,34,O
,people,O
,and,O
,wounded,O
,more,O
,than,O
,200,O
,.,O
Sentence: 25,U.S.,B-B.GENE
,commanders,O
,have,O
,not,O
,explained,O
,how,O
,American,B-B.GENE
,forces,O
,will,O
,participate,O
,in,O
,the,O
,offensive,O
,.,O
Sentence: 26,Officials,O
,say,O
,al,B-B.GENE
,Qaida,I-I.GENE
,in,I-I.GENE
,Iraq,I-I.GENE
,fighters,O
,have,O
,fled,O
,successful,O
,campaigns,O
,against,O
,them,O
,in,O
,Anbar,B-B.GENE
,province,O
,and,O
,Baghdad,B-B.GENE
,to,O
,other,O
,northern,O
,provinces,O
,.,O
Sentence: 27,Mosul,B-B.GENE
,is,O
,the,O
,largest,O
,city,O
,north,O
,of,O
,Baghdad,B-B.GENE
,and,O
,has,O
,long,O
,been,O
,a,O
,stronghold,O
,of,O
,Sunni,B-B.GENE
,militant,O
,fighters,O
,.,O
Sentence: 28,In,O
,other,O
,violence,O
,",",O
,U.S.,B-B.GENE
,officials,O
,said,O
,one,O
,American,B-B.GENE
,soldier,O
,was,O
,killed,O
,while,O
,on,O
,patrol,O
,in,O
,Baghdad,B-B.GENE
,Sunday,B-B.GENE
,.,O
Sentence: 29,Egyptian,B-B.GENE
,police,O
,have,O
,arrested,O
,at,O
,least,O
,16,O
,members,O
,of,O
,the,O
,opposition,O
,Muslim,B-B.GENE
,Brotherhood,I-I.GENE
,as,O
,parts,O
,of,O
,the,O
,country,O
,prepare,O
,for,O
,parliamentary,O
,runoff,O
,elections,O
,Saturday,B-B.GENE
,.,O
Sentence: 30,The,O
,arrests,O
,occurred,O
,Friday,B-B.GENE
,in,O
,Alexandria,B-B.GENE
,.,O
Sentence: 31,A,O
,spokesman,O
,for,O
,the,O
,Brotherhood,B-B.GENE
,said,O
,the,O
,arrests,O
,are,O
,an,O
,attempt,O
,to,O
,cut,O
,the,O
,Brotherhood,B-B.GENE
,off,O
,from,O
,its,O
,supporters,O
,and,O
,punishment,O
,for,O
,winning,O
,parliamentary,O
,seats,O
,in,O
,earlier,O
,elections,O
,.,O
Sentence: 32,The,O
,Muslim,B-B.GENE
,Brotherhood,I-I.GENE
,has,O
,tripled,O
,its,O
,strength,O
,in,O
,parliament,O
,in,O
,recent,O
,elections,O
,",",O
,raising,O
,the,O
,party,O
,'s,O
,total,O
,to,O
,47,O
,seats,O
,.,O
Sentence: 33,In,O
,Saturday,B-B.GENE
,'s,O
,elections,O
,",",O
,voters,O
,will,O
,cast,O
,ballots,O
,in,O
,nine,O
,provinces,O
,where,O
,no,O
,candidate,O
,won,O
,a,O
,majority,O
,in,O
,the,O
,previous,O
,round,O
,of,O
,voting,O
,.,O
Sentence: 34,The,O
,Muslim,B-B.GENE
,Brotherhood,I-I.GENE
,is,O
,banned,O
,as,O
,a,O
,political,O
,party,O
,",",O
,but,O
,it,O
,endorses,O
,so-called,O
,independent,O
,candidates,O
,whose,O
,allegiance,O
,to,O
,the,O
,party,O
,is,O
,known,O
,to,O
,voters,O
,.,O
Sentence: 35,Hardline,O
,lawmakers,O
,in,O
,Pakistan,B-B.GENE
,'s,O
,North,B-B.GENE
,West,I-I.GENE
,Frontier,I-I.GENE
,Province,I-I.GENE
,have,O
,pushed,O
,through,O
,a,O
,law,O
,that,O
,aims,O
,to,O
,ensure,O
,"""",O
,Islamic,O
,correctness,O
,"""",O
,in,O
,public,O
,places,O
,and,O
,establishes,O
,a,O
,morality,O
,police,O
,to,O
,enforce,O
,decent,O
,behavior,O
,.,O
Sentence: 36,A,O
,six-party,O
,coalition,O
,of,O
,religious,O
,based,O
,parties,O
,",",O
,the,O
,Mutahida,B-B.GENE
,Majlis-e-Amal,I-I.GENE
,",",O
,dominates,O
,the,O
,provincial,O
,assembly,O
,",",O
,so,O
,the,O
,bill,O
,was,O
,easily,O
,passed,O
,Thursday,B-B.GENE
,by,O
,a,O
,vote,O
,of,O
,68-34,O
,.,O
Sentence: 37,The,O
,provincial,O
,governor,O
,must,O
,still,O
,sign,O
,the,O
,bill,O
,before,O
,it,O
,becomes,O
,law,O
,",",O
,a,O
,step,O
,seen,O
,only,O
,as,O
,a,O
,formality,O
,.,O
Sentence: 38,The,O
,proposed,O
,law,O
,calls,O
,for,O
,setting,O
,up,O
,a,O
,"""",O
,religious,O
,police,O
,force,O
,"""",O
,to,O
,make,O
,sure,O
,people,O
,adhere,O
,to,O
,Islamic,O
,values,O
,in,O
,public,O
,places,O
,",",O
,and,O
,entertainment,O
,outlets,O
,close,O
,during,O
,weekly,O
,Friday,B-B.GENE
,prayers,O
,.,O
Sentence: 39,Violators,O
,could,O
,be,O
,jailed,O
,for,O
,up,O
,to,O
,six,O
,months,O
,.,O
Sentence: 40,The,O
,opposition,O
,has,O
,denounced,O
,the,O
,measure,O
,",",O
,comparing,O
,it,O
,to,O
,the,O
,draconian,O
,rule,O
,of,O
,the,O
,former,O
,Taleban,B-B.GENE
,in,O
,neighboring,O
,Afghanistan,B-B.GENE
,.,O
Sentence: 41,British,B-B.GENE
,police,O
,say,O
,they,O
,have,O
,arrested,O
,a,O
,man,O
,who,O
,dressed,O
,as,O
,suicide,O
,bomber,O
,at,O
,a,O
,demonstration,O
,against,O
,the,O
,publication,O
,of,O
,cartoons,O
,depicting,O
,Islam,B-B.GENE
,'s,O
,Prophet,B-B.GENE
,Muhammad,I-I.GENE
,.,O
Sentence: 42,Bedfordshire,B-B.GENE
,police,O
,said,O
,Tuesday,B-B.GENE
,that,O
,Omar,B-B.GENE
,Khayam,I-I.GENE
,was,O
,arrested,O
,in,O
,Bedford,B-B.GENE
,for,O
,breaching,O
,the,O
,conditions,O
,of,O
,his,O
,parole,O
,.,O
Sentence: 43,Police,O
,said,O
,the,O
,British,B-B.GENE
,Home,I-I.GENE
,Office,I-I.GENE
,sought,O
,an,O
,investigation,O
,of,O
,Khayam,B-B.GENE
,'s,O
,behavior,O
,after,O
,he,O
,was,O
,photographed,O
,last,O
,week,O
,at,O
,a,O
,demonstration,O
,dressed,O
,in,O
,fatigues,O
,",",O
,a,O
,black,O
,cap,O
,",",O
,and,O
,a,O
,bulky,O
,belt,O
,.,O
Sentence: 44,A,O
,Home,B-B.GENE
,Office,I-I.GENE
,spokesman,O
,told,O
,the,O
,Associated,B-B.GENE
,Press,I-I.GENE
,that,O
,if,O
,the,O
,behavior,O
,of,O
,a,O
,paroled,O
,offender,O
,gives,O
,cause,O
,for,O
,concern,O
,",",O
,he,O
,can,O
,be,O
,sent,O
,back,O
,to,O
,prison,O
,.,O
Sentence: 45,The,O
,AP,B-B.GENE
,also,O
,reports,O
,Khayam,B-B.GENE
,has,O
,been,O
,on,O
,parole,O
,from,O
,prison,O
,since,O
,last,O
,year,O
,after,O
,serving,O
,half,O
,his,O
,six-year,O
,sentence,O
,for,O
,drug,O
,dealing,O
,.,O
Sentence: 46,Pakistani,B-B.GENE
,officials,O
,say,O
,unidentified,O
,gunmen,O
,have,O
,killed,O
,three,O
,people,O
,",",O
,including,O
,a,O
,former,O
,government,O
,minister,O
,",",O
,in,O
,a,O
,semi-autonomous,O
,tribal,O
,region,O
,bordering,O
,Afghanistan,B-B.GENE
,.,O
Sentence: 47,The,O
,officials,O
,say,O
,prominent,O
,tribal,O
,leader,O
,Malik,B-B.GENE
,Faridullah,I-I.GENE
,Khan,I-I.GENE
,was,O
,traveling,O
,in,O
,South,B-B.GENE
,Waziristan,I-I.GENE
,Sunday,B-B.GENE
,when,O
,his,O
,vehicle,O
,was,O
,ambushed,O
,in,O
,the,O
,Kani,B-B.GENE
,Wam,I-I.GENE
,area,O
,.,O
Sentence: 48,His,O
,driver,O
,and,O
,a,O
,tribal,O
,elder,O
,were,O
,also,O
,killed,O
,.,O
Sentence: 49,No,O
,one,O
,has,O
,claimed,O
,responsibility,O
,for,O
,the,O
,killings,O
,.,O
Sentence: 50,The,O
,ambush,O
,came,O
,a,O
,day,O
,after,O
,a,O
,commander,O
,of,O
,Pakistani,B-B.GENE
,troops,O
,said,O
,the,O
,army,O
,has,O
,almost,O
,completely,O
,eliminated,O
,militants,O
,in,O
,South,B-B.GENE
,Waziristan,I-I.GENE
,.,O
Sentence: 51,The,O
,area,O
,became,O
,a,O
,refuge,O
,for,O
,many,O
,al-Qaida,B-B.GENE
,and,O
,Taleban,B-B.GENE
,fighters,O
,after,O
,the,O
,Taleban,B-B.GENE
,government,O
,was,O
,ousted,O
,in,O
,Afghanistan,B-B.GENE
,in,O
,2001,B-B.GENE
,.,O
Sentence: 52,A,O
,senior,O
,Pakistani,B-B.GENE
,military,O
,official,O
,says,O
,Pakistan,B-B.GENE
,wants,O
,to,O
,put,O
,what,O
,he,O
,calls,O
,the,O
,"""",O
,sordid,O
,chapter,O
,"""",O
,of,O
,proliferation,O
,by,O
,one,O
,of,O
,its,O
,top,O
,scientists,O
,behind,O
,it,O
,and,O
,build,O
,civilian,O
,nuclear,O
,ties,O
,with,O
,the,O
,United,B-B.GENE
,States,I-I.GENE
,.,O
Sentence: 53,But,O
,he,O
,says,O
,Pakistan,B-B.GENE
,is,O
,not,O
,ready,O
,to,O
,make,O
,the,O
,nuclear,O
,scientist,O
,",",O
,Abdul,B-B.GENE
,Qadeer,I-I.GENE
,Khan,I-I.GENE
,",",O
,available,O
,for,O
,direct,O
,questioning,O
,over,O
,his,O
,sale,O
,of,O
,nuclear,O
,parts,O
,and,O
,secrets,O
,to,O
,states,O
,including,O
,Iran,B-B.GENE
,",",O
,Libya,B-B.GENE
,and,O
,North,B-B.GENE
,Korea,I-I.GENE
,.,O
Sentence: 54,He,O
,said,O
,there,O
,are,O
,reasons,O
,of,O
,national,O
,sensitivities,O
,for,O
,not,O
,making,O
,him,O
,available,O
,.,O
Sentence: 55,The,O
,Pakistani,B-B.GENE
,official,O
,was,O
,giving,O
,a,O
,background,O
,briefing,O
,to,O
,a,O
,small,O
,group,O
,of,O
,reporters,O
,in,O
,Washington,B-B.GENE
,.,O
Sentence: 56,Khan,B-B.GENE
,admitted,O
,in,O
,2004,B-B.GENE
,that,O
,he,O
,operated,O
,a,O
,worldwide,O
,clandestine,O
,network,O
,to,O
,sell,O
,nuclear,O
,technology,O
,in,O
,the,O
,black,O
,market,O
,.,O
Sentence: 57,He,O
,was,O
,placed,O
,under,O
,house,O
,arrest,O
,in,O
,Islamabad,B-B.GENE
,",",O
,but,O
,not,O
,jailed,O
,because,O
,he,O
,is,O
,considered,O
,the,O
,father,O
,of,O
,Pakistan,B-B.GENE
,'s,O
,nuclear,O
,bomb,O
,.,O
Sentence: 58,U.S.,B-B.GENE
,Army,B-B.GENE
,officials,O
,said,O
,Wednesday,B-B.GENE
,that,O
,they,O
,will,O
,not,O
,renew,O
,a,O
,controversial,O
,multi-billion,O
,dollar,O
,contract,O
,with,O
,the,O
,Halliburton,B-B.GENE
,company,O
,to,O
,provide,O
,logistical,O
,support,O
,to,O
,U.S.,B-B.GENE
,troops,O
,in,O
,Iraq,B-B.GENE
,and,O
,elsewhere,O
,.,O
Sentence: 59,Halliburton,B-B.GENE
,has,O
,been,O
,providing,O
,a,O
,long,O
,list,O
,of,O
,services,O
,",",O
,from,O
,meals,O
,to,O
,communication,O
,",",O
,for,O
,the,O
,military,O
,for,O
,several,O
,years,O
,.,O
Sentence: 60,Critics,O
,of,O
,Halliburton,B-B.GENE
,include,O
,auditors,O
,and,O
,congressional,O
,Democrats,O
,.,O
Sentence: 61,They,O
,say,O
,the,O
,company,O
,has,O
,produced,O
,some,O
,shoddy,O
,work,O
,and,O
,charges,O
,too,O
,much,O
,money,O
,.,O
Sentence: 62,The,O
,company,O
,strongly,O
,denies,O
,the,O
,allegations,O
,.,O
Sentence: 63,When,O
,the,O
,huge,O
,contract,O
,is,O
,put,O
,out,O
,for,O
,re-bidding,O
,",",O
,several,O
,companies,O
,will,O
,get,O
,a,O
,chance,O
,to,O
,compete,O
,for,O
,portions,O
,of,O
,the,O
,work,O
,.,O
Sentence: 64,Representatives,O
,from,O
,the,O
,Asia,B-B.GENE
,Pacific,I-I.GENE
,Economic,I-I.GENE
,Cooperation,I-I.GENE
,Business,I-I.GENE
,Advisory,I-I.GENE
,Council,I-I.GENE
,are,O
,holding,O
,meetings,O
,this,O
,week,O
,to,O
,finalize,O
,their,O
,annual,O
,report,O
,for,O
,APEC,B-B.GENE
,leaders,O
,who,O
,will,O
,hold,O
,a,O
,summit,O
,on,O
,September,B-B.GENE
,8,I-I.GENE
,and,O
,9,B-B.GENE
,.,O
Sentence: 65,VOA,B-B.GENE
,'s,O
,Nancy-Amelia,B-B.GENE
,Collins,I-I.GENE
,reports,O
,from,O
,Sydney,B-B.GENE
,.,O
Sentence: 66,Energy,O
,",",O
,security,O
,",",O
,climate,O
,change,O
,",",O
,the,O
,World,B-B.GENE
,Trade,I-I.GENE
,Organization,I-I.GENE
,'s,O
,stalled,O
,negotiations,O
,",",O
,and,O
,investment,O
,are,O
,all,O
,expected,O
,to,O
,be,O
,among,O
,the,O
,major,O
,topics,O
,in,O
,the,O
,annual,O
,report,O
,of,O
,the,O
,APEC,B-B.GENE
,Business,I-I.GENE
,Advisory,I-I.GENE
,Council,I-I.GENE
,",",O
,known,O
,as,O
,ABAC,B-B.GENE
,.,O
Sentence: 67,Tim,B-B.GENE
,Harcourt,I-I.GENE
,",",O
,the,O
,chief,O
,economist,O
,of,O
,the,O
,Australian,B-B.GENE
,Trade,I-I.GENE
,Commission,I-I.GENE
,",",O
,says,O
,ABAC,B-B.GENE
,plays,O
,an,O
,important,O
,role,O
,by,O
,informing,O
,governments,O
,where,O
,there,O
,are,O
,problems,O
,.,O
Sentence: 68,"""",O
,The,O
,most,O
,important,O
,thing,O
,the,O
,business,O
,groups,O
,can,O
,do,O
,is,O
,to,O
,tell,O
,the,O
,governments,O
,where,O
,there,O
,are,O
,logjams,O
,",",O
,where,O
,there,O
,are,O
,obstacles,O
,",",O
,where,O
,things,O
,can,O
,improve,O
,",",O
,"""",O
,Harcourt,B-B.GENE
,said,O
,.,O
Sentence: 69,"""",O
,I,O
,think,O
,actually,O
,ABAC,B-B.GENE
,has,O
,played,O
,a,O
,pretty,O
,good,O
,leadership,O
,on,O
,that,O
,in,O
,talking,O
,about,O
,trade,O
,facilitation,O
,and,O
,basically,O
,making,O
,sure,O
,standards,O
,are,O
,consistent,O
,and,O
,harmonious,O
,across,O
,the,O
,region,O
,.,O
,"""",O
Sentence: 70,ABAC,B-B.GENE
,comprises,O
,up,O
,to,O
,three,O
,members,O
,of,O
,the,O
,private,O
,sector,O
,of,O
,each,O
,of,O
,the,O
,21,O
,economies,O
,that,O
,make,O
,up,O
,APEC,B-B.GENE
,.,O
Sentence: 71,It,O
,meets,O
,three,O
,times,O
,a,O
,year,O
,.,O
Sentence: 72,It,O
,was,O
,made,O
,a,O
,permanent,O
,body,O
,in,O
,1995,B-B.GENE
,to,O
,provide,O
,an,O
,independent,O
,business,O
,perspective,O
,within,O
,APEC,B-B.GENE
,.,O
Sentence: 73,Members,O
,represent,O
,a,O
,range,O
,of,O
,business,O
,sectors,O
,",",O
,including,O
,medium,O
,and,O
,small,O
,businesses,O
,.,O
Sentence: 74,ABAC,B-B.GENE
,says,O
,there,O
,is,O
,a,O
,need,O
,for,O
,businesses,O
,to,O
,improve,O
,energy,O
,efficiency,O
,and,O
,to,O
,encourage,O
,conservation,O
,practices,O
,",",O
,and,O
,is,O
,expected,O
,to,O
,include,O
,this,O
,in,O
,its,O
,annual,O
,report,O
,.,O
Sentence: 75,Harcourt,B-B.GENE
,",",O
,of,O
,the,O
,Australian,B-B.GENE
